SVR_IP     	 SVR_PORT	 REQUEST_ID	 SQL_EXEC_ID	 TRACE_ID                         	 SID       	 CLIENT_IP  	 CLIENT_PORT	 TENANT_ID	 TENANT_NAME        	 EFFECTIVE_TENANT_ID	 USER_ID	 USER_NAME   	 USER_GROUP	 USER_CLIENT_IP	 DB_ID 	 DB_NAME         	 SQL_ID                          	 QUERY_SQL                                                                                                	 PLAN_ID	 AFFECTED_ROWS	 RETURN_ROWS	 PARTITION_CNT	 RET_CODE	 QC_ID	 DFO_ID	 SQC_ID	 WORKER_ID	 EVENT	 P1TEXT	 P1	 P2TEXT	 P2	 P3TEXT	 P3	 LEVEL	 WAIT_CLASS_ID	 WAIT_CLASS#	 WAIT_CLASS	 STATE             	 WAIT_TIME_MICRO	 TOTAL_WAIT_TIME_MICRO	 TOTAL_WAITS	 RPC_COUNT	 PLAN_TYPE	 IS_INNER_SQL	 IS_EXECUTOR_RPC	 IS_HIT_PLAN	 REQUEST_TIME    	 ELAPSED_TIME	 NET_TIME	 NET_WAIT_TIME	 QUEUE_TIME	 DECODE_TIME	 GET_PLAN_TIME	 EXECUTE_TIME	 APPLICATION_WAIT_TIME	 CONCURRENCY_WAIT_TIME	 USER_IO_WAIT_TIME	 SCHEDULE_TIME	 ROW_CACHE_HIT	 BLOOM_FILTER_CACHE_HIT	 BLOCK_CACHE_HIT	 DISK_READS	 RETRY_CNT	 TABLE_SCAN	 CONSISTENCY_LEVEL	 MEMSTORE_READ_ROW_COUNT	 SSSTORE_READ_ROW_COUNT	 DATA_BLOCK_READ_CNT	 DATA_BLOCK_CACHE_HIT	 INDEX_BLOCK_READ_CNT	 INDEX_BLOCK_CACHE_HIT	 BLOCKSCAN_BLOCK_CNT	 BLOCKSCAN_ROW_CNT	 PUSHDOWN_STORAGE_FILTER_ROW_CNT	 REQUEST_MEMORY_USED	 EXPECTED_WORKER_COUNT	 USED_WORKER_COUNT	 SCHED_INFO	 FUSE_ROW_CACHE_HIT	 PS_CLIENT_STMT_ID	 PS_INNER_STMT_ID	 TX_ID	 SNAPSHOT_VERSION   	 REQUEST_TYPE	 IS_BATCHED_MULTI_STMT	 OB_TRACE_INFO	 PLAN_HASH          	 LOCK_FOR_READ_TIME	 PARAMS_VALUE	 RULE_NAME	 PARTITION_HIT	 TX_INTERNAL_ROUTING	 TX_STATE_VERSION	 FLT_TRACE_ID                        	 PL_TRACE_ID	 PLSQL_EXEC_TIME	 FORMAT_SQL_ID                   	 NETWORK_WAIT_TIME	 STMT_TYPE     	 TOTAL_MEMSTORE_READ_ROW_COUNT	 TOTAL_SSSTORE_READ_ROW_COUNT	 PROXY_USER	 SEQ_NUM	 PLSQL_COMPILE_TIME	 USER_CLIENT_PORT	 TRANS_STATUS                  	 INSERT_DUPLICATE_ROW_COUNT
7.27.43.145	     2882	     160676	     1837180	 YB42071B2B91-00065678DF412E5A-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 751417D45B8E80EE5CBA2034458B5BC9	 show databases                                                                                           	     961	             0	           6	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651176230	         3414	        0	             1	         54	           0	          3190	          159	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       8	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             2692160	                     0	                 0	 NULL      	                  0	 -1               	 -1              	     0	 1783938651144609000	            2	                     0	 NULL         	 3966528588401756211	                  0	             	          	             1	                   0	                0	 0006567b-959a-bb5f-8588-9637aa2fe60c	 NULL       	               0	                                 	                 0	 SHOW_DATABASES	                             8	                            0	           	       1	                  0	            47624	 Transaction not opened        	                          0
7.27.43.145	     2882	     160677	     1837181	 YB42071B2B91-00065678DF412E5B-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 489B4CEB2F4301A7132628303F99240D	 show tables                                                                                              	     962	             0	           1	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651180070	         1630	        0	             0	         31	           1	          1452	          140	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       0	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             4115936	                     0	                 0	 NULL      	                  0	 -1               	 -1              	     0	                   0	            2	                     0	 NULL         	 7793007211951501052	                  0	             	          	             1	                   0	                0	 0006567b-959a-cc1f-8d16-40580dcf6068	 NULL       	               0	                                 	                 0	 SHOW_TABLES   	                             0	                            0	           	       1	                  0	            47624	 Transaction not opened        	                          0
7.27.43.145	     2882	     160678	     1837183	 YB42071B2B91-00065678DF412E5C-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 F778FF1AF4EAD31F6A0CB1C9C8D2C581	 select * from identity_audit_case where 0                                                                	     483	             0	           0	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           1	 1783938651182060	           75	        0	             1	         31	           1	            20	           16	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       0	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	                   0	                     0	                 0	 NULL      	                  0	 -1               	 -1              	     0	 1783938651144609000	            2	                     0	 NULL         	 6527925401674026777	                  0	             	          	             1	                   0	                0	 0006567b-959a-d065-55a2-04d339428ed8	 NULL       	               0	 C5976B27E7AAEC2279CC32B0F0DC7EAA	                 0	 SELECT        	                             0	                            0	           	       1	                  0	            47624	 Transaction not opened        	                          0
7.27.43.145	     2882	     160679	     1837184	 YB42071B2B91-00065678DF412E5D-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 48B4B9E9DCBF731C6E8FBC434FDEA5FD	 INSERT INTO identity_audit_case (id, k, c) VALUES (3, 50, 'tenant_a_proxy_db_a1_insert')                 	     963	             1	           0	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651183346	         1122	        0	             1	         25	           0	           905	          185	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       0	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             4291536	                     0	                 0	 NULL      	                  0	 -1               	 -1              	 32766	                   0	            2	                     0	 NULL         	 3290318591324336132	                  0	             	          	             1	                   0	                0	 0006567b-959a-d8d5-2480-436039d71e55	 NULL       	               0	 D1144B1417BBA81FFC9B9299A0DC24F5	                 0	 INSERT        	                             0	                            0	           	       5	                  0	            47624	 Enable committable transaction	                          0
7.27.43.145	     2882	     160680	     1837194	 YB42071B2B91-00065678DF412E5E-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 76E1AF98BCF3D1DC09C27BAE723CF73D	 SELECT id, k, c FROM identity_audit_case WHERE id = 3                                                    	     964	             0	           1	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651217182	         1813	        0	             2	         35	           0	          1650	          113	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       1	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             1957072	                     0	                 0	 NULL      	                  0	 -1               	 -1              	     0	 1783938651184399000	            2	                     0	 NULL         	 6527925401674026777	                  0	             	          	             1	                   0	                0	 0006567b-959b-5b13-7d22-6fe8fafd788a	 NULL       	               0	 EA2715AA26E10677782AE30F9108FD6D	                 0	 SELECT        	                             1	                            0	           	       1	                  0	            47624	 Transaction not opened        	                          0
7.27.43.145	     2882	     160681	     1837195	 YB42071B2B91-00065678DF412E5F-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 386AF2227738DCE3497631D0C705CE38	 UPDATE identity_audit_case SET k = 51, c = 'tenant_a_proxy_db_a1_update' WHERE id = 3                    	     965	             1	           0	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651220324	         1823	        0	             1	         18	           0	          1530	          258	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       2	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             4314832	                     0	                 0	 NULL      	                  0	 -1               	 -1              	 32767	 1783938651184399000	            2	                     0	 NULL         	 9050660341789195036	                  0	             	          	             1	                   0	                0	 0006567b-959b-6798-9ba9-14134014fd08	 NULL       	               0	 E0603BE3AA8FBC9124D8D00A31B7F574	                 0	 UPDATE        	                             2	                            0	           	       3	                  0	            47624	 Enable committable transaction	                          0
7.27.43.145	     2882	     160683	     1837196	 YB42071B2B91-00065678DF412E60-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 17251A7AAF931112D0E8784BCBE0C3B5	 DELETE FROM identity_audit_case WHERE id = 3                                                             	     966	             1	           0	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651229521	         1772	        0	             1	         46	           0	          1450	          254	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       2	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             1965008	                     0	                 0	 NULL      	                  0	 -1               	 -1              	 32768	 1783938651221997000	            2	                     0	 NULL         	 5417083375924133410	                  0	             	          	             1	                   0	                0	 0006567b-959b-8d48-0148-3dd04bceb677	 NULL       	               0	 9B29E77395B1A0C20360CE14795A6803	                 0	 DELETE        	                             2	                            0	           	       3	                  0	            47624	 Enable committable transaction	                          0
7.27.43.145	     2882	     160684	     1837198	 YB42071B2B91-00065678DF412E61-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500002	 ebpf_audit_db_a1	 359E40D6A4AB75171925325700759325	 SELECT DATABASE()                                                                                        	     967	             0	           1	             0	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651238157	          786	        0	             1	         45	           0	           695	           34	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       0	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             1908344	                     0	                 0	 NULL      	                  0	 -1               	 -1              	     0	                   0	            2	                     0	 NULL         	 6388442502389984409	                  0	             	          	             1	                   0	                0	 0006567b-959b-aef6-548f-da7f6da97e95	 NULL       	               0	 77EDB0D8B515EE884DACB9D01393FD22	                 0	 SELECT        	                             0	                            0	           	       1	                  0	            47624	 Transaction not opened        	                          0
7.27.43.145	     2882	     160685	     1837199	 YB42071B2B91-00065678DF412E63-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500003	 ebpf_audit_db_a2	 751417D45B8E80EE5CBA2034458B5BC9	 show databases                                                                                           	     968	             0	           6	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651240423	         2906	        0	             1	         30	           0	          2712	          155	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       8	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             2684192	                     0	                 0	 NULL      	                  0	 -1               	 -1              	     0	 1783938651230581000	            2	                     0	 NULL         	 3966528588401756211	                  0	             	          	             1	                   0	                0	 0006567b-959b-b729-2279-9b63982edf75	 NULL       	               0	                                 	                 0	 SHOW_DATABASES	                             8	                            0	           	       1	                  0	            47624	 Transaction not opened        	                          0
7.27.43.145	     2882	     160686	     1837200	 YB42071B2B91-00065678DF412E64-0-0	 3221563972	 7.27.43.139	       47624	      1006	 ebpf_audit_tenant_a	                1006	  500007	 proxy_user_a	          0	 7.27.43.139   	 500003	 ebpf_audit_db_a2	 489B4CEB2F4301A7132628303F99240D	 show tables                                                                                              	     969	             0	           1	             1	 0       	     0	      0	      0	         0	      	       	  0	       	  0	       	  0	     0	           100	           0	 OTHER     	 MAX_WAIT TIME ZERO	               0	                     0	           0	         0	         1	            0	               0	           0	 1783938651243793	         1605	        0	             1	         30	           0	          1396	          169	                     0	                     0	                 0	             0	             0	                      0	               0	          0	         0	          0	 3                	                       0	                      0	                   0	                    0	                    0	                     0	                   0	                 0	                               0	             2014704	                     0	                 0	 NULL      	                  0	 -1               	 -1              	     0	                   0	            2	                     0	 NULL         	 7793007211951501052	                  0	             	          	             1	                   0	                0	 0006567b-959b-c3b0-702d-bc4576a75a1d	 NULL       	               0	                                 	                 0	 SHOW_TABLES   	                             0	                            0	           	       1	                  0	            47624	 Transaction not opened        	                          0
