Linux 6.1.0-37-amd64 (dep881-unknown25827779.i.nease.net) 	08/20/26 	_x86_64_	(16 CPU)

17:04:00     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:01     all   44.83    0.00   17.92    1.48    0.00    4.50   10.04    0.00    0.00   21.24
17:04:01       0   46.08    0.00   13.73    4.90    0.00    3.92    9.80    0.00    0.00   21.57
17:04:01       1   46.53    0.00   16.83    1.98    0.00    4.95    9.90    0.00    0.00   19.80
17:04:01       2   43.00    0.00   16.00    4.00    0.00    6.00   10.00    0.00    0.00   21.00
17:04:01       3   42.72    0.00   19.42    0.00    0.00    6.80    8.74    0.00    0.00   22.33
17:04:01       4   44.90    0.00   17.35    0.00    0.00    8.16   10.20    0.00    0.00   19.39
17:04:01       5   55.45    0.00   11.88    0.00    0.00    4.95    8.91    0.00    0.00   18.81
17:04:01       6   39.81    0.00   17.48    2.91    0.00    6.80   12.62    0.00    0.00   20.39
17:04:01       7   43.56    0.00   10.89    2.97    0.00   12.87    9.90    0.00    0.00   19.80
17:04:01       8   41.75    0.00   17.48    0.00    0.00    1.94   11.65    0.00    0.00   27.18
17:04:01       9   41.51    0.00   18.87    1.89    0.00    2.83   12.26    0.00    0.00   22.64
17:04:01      10   50.98    0.00   15.69    0.00    0.00    1.96    9.80    0.00    0.00   21.57
17:04:01      11   58.76    0.00   14.43    0.00    0.00    2.06    8.25    0.00    0.00   16.49
17:04:01      12   47.00    0.00   14.00    2.00    0.00    4.00    8.00    0.00    0.00   25.00
17:04:01      13   38.24    0.00   23.53    0.98    0.00    0.98   11.76    0.00    0.00   24.51
17:04:01      14   44.12    0.00   22.55    0.00    0.00    0.98   10.78    0.00    0.00   21.57
17:04:01      15   33.98    0.00   35.92    1.94    0.00    2.91    7.77    0.00    0.00   17.48

17:04:01     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:02     all   47.01    0.00   15.52    1.50    0.00    4.55    5.74    0.00    0.00   25.69
17:04:02       0   37.74    0.00   16.04    0.00    0.00    5.66    7.55    0.00    0.00   33.02
17:04:02       1   52.00    0.00   13.00    0.00    0.00    7.00    4.00    0.00    0.00   24.00
17:04:02       2   50.50    0.00   21.78    0.00    0.00    1.98    4.95    0.00    0.00   20.79
17:04:02       3   46.32    0.00   14.74    2.11    0.00    6.32    6.32    0.00    0.00   24.21
17:04:02       4   52.48    0.00    9.90    0.00    0.00    6.93    7.92    0.00    0.00   22.77
17:04:02       5   58.25    0.00    9.71    0.00    0.00    4.85    3.88    0.00    0.00   23.30
17:04:02       6   51.02    0.00   11.22    0.00    0.00   12.24    4.08    0.00    0.00   21.43
17:04:02       7   43.43    0.00   15.15    2.02    0.00    9.09    5.05    0.00    0.00   25.25
17:04:02       8   43.56    0.00   13.86    0.00    0.00    1.98    6.93    0.00    0.00   33.66
17:04:02       9   43.43    0.00   19.19    5.05    0.00    2.02    5.05    0.00    0.00   25.25
17:04:02      10   49.00    0.00   15.00    0.00    0.00    2.00    5.00    0.00    0.00   29.00
17:04:02      11   37.11    0.00   15.46    9.28    0.00    2.06    7.22    0.00    0.00   28.87
17:04:02      12   60.95    0.00    8.57    0.95    0.00    1.90    3.81    0.00    0.00   23.81
17:04:02      13   38.00    0.00   27.00    3.00    0.00    2.00    8.00    0.00    0.00   22.00
17:04:02      14   40.38    0.00   24.04    1.92    0.00    2.88    6.73    0.00    0.00   24.04
17:04:02      15   47.37    0.00   13.68    0.00    0.00    4.21    5.26    0.00    0.00   29.47

17:04:02     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:03     all   45.45    0.00   15.61    1.58    0.00    5.06    3.54    0.00    0.00   28.76
17:04:03       0   44.55    0.00   12.87    0.00    0.00    5.94    3.96    0.00    0.00   32.67
17:04:03       1   33.33    0.00   19.19    6.06    0.00    9.09    5.05    0.00    0.00   27.27
17:04:03       2   44.21    0.00   14.74    0.00    0.00    8.42    4.21    0.00    0.00   28.42
17:04:03       3   46.67    0.00   20.95    0.00    0.00    7.62    2.86    0.00    0.00   21.90
17:04:03       4   45.92    0.00   19.39    0.00    0.00    6.12    3.06    0.00    0.00   25.51
17:04:03       5   47.92    0.00   13.54    0.00    0.00   12.50    2.08    0.00    0.00   23.96
17:04:03       6   46.46    0.00   18.18    0.00    0.00    5.05    5.05    0.00    0.00   25.25
17:04:03       7   41.18    0.00    8.82    0.98    0.00    7.84    3.92    0.00    0.00   37.25
17:04:03       8   43.30    0.00   15.46    1.03    0.00    3.09    4.12    0.00    0.00   32.99
17:04:03       9   54.90    0.00   10.78    0.00    0.00    1.96    1.96    0.00    0.00   30.39
17:04:03      10   40.00    0.00   24.21    0.00    0.00    2.11    4.21    0.00    0.00   29.47
17:04:03      11   50.51    0.00   13.13    0.00    0.00    1.01    3.03    0.00    0.00   32.32
17:04:03      12   55.45    0.00   14.85    0.00    0.00    1.98    2.97    0.00    0.00   24.75
17:04:03      13   33.68    0.00   20.00   13.68    0.00    5.26    3.16    0.00    0.00   24.21
17:04:03      14   48.48    0.00   11.11    4.04    0.00    2.02    3.03    0.00    0.00   31.31
17:04:03      15   49.49    0.00   13.13    0.00    0.00    1.01    4.04    0.00    0.00   32.32

17:04:03     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:04     all   43.79    0.00   14.87    1.58    0.00    5.23    4.73    0.00    0.00   29.80
17:04:04       0   50.51    0.00   12.12    0.00    0.00    8.08    4.04    0.00    0.00   25.25
17:04:04       1   51.46    0.00   10.68    0.00    0.00    5.83    3.88    0.00    0.00   28.16
17:04:04       2   50.51    0.00   10.10    0.00    0.00   10.10    3.03    0.00    0.00   26.26
17:04:04       3   50.00    0.00   10.20    0.00    0.00    9.18    5.10    0.00    0.00   25.51
17:04:04       4   41.18    0.00   15.69    0.98    0.00    3.92    4.90    0.00    0.00   33.33
17:04:04       5   41.24    0.00   14.43    0.00    0.00    7.22    5.15    0.00    0.00   31.96
17:04:04       6   44.66    0.00   19.42    0.97    0.00    6.80    3.88    0.00    0.00   24.27
17:04:04       7   37.37    0.00    8.08    1.01    0.00   13.13    4.04    0.00    0.00   36.36
17:04:04       8   46.46    0.00   14.14    0.00    0.00    3.03    6.06    0.00    0.00   30.30
17:04:04       9   48.94    0.00    7.45    1.06    0.00    2.13    5.32    0.00    0.00   35.11
17:04:04      10   29.00    0.00   19.00   12.00    0.00    1.00    6.00    0.00    0.00   33.00
17:04:04      11   52.53    0.00   13.13    0.00    0.00    4.04    4.04    0.00    0.00   26.26
17:04:04      12   42.86    0.00   15.31    2.04    0.00    2.04    4.08    0.00    0.00   33.67
17:04:04      13   37.00    0.00   24.00    5.00    0.00    1.00    6.00    0.00    0.00   27.00
17:04:04      14   38.38    0.00   15.15    2.02    0.00    3.03    5.05    0.00    0.00   36.36
17:04:04      15   38.78    0.00   28.57    0.00    0.00    3.06    5.10    0.00    0.00   24.49

17:04:04     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:05     all   47.37    0.00   16.29    1.57    0.00    4.76    6.20    0.00    0.00   23.81
17:04:05       0   48.00    0.00   20.00    0.00    0.00    7.00    7.00    0.00    0.00   18.00
17:04:05       1   53.61    0.00   18.56    0.00    0.00    7.22    4.12    0.00    0.00   16.49
17:04:05       2   37.25    0.00   19.61    0.00    0.00    7.84    7.84    0.00    0.00   27.45
17:04:05       3   46.53    0.00   19.80    0.99    0.00    1.98    5.94    0.00    0.00   24.75
17:04:05       4   47.47    0.00   13.13    1.01    0.00    8.08    6.06    0.00    0.00   24.24
17:04:05       5   49.04    0.00   16.35    0.00    0.00    6.73    6.73    0.00    0.00   21.15
17:04:05       6   51.00    0.00   13.00    2.00    0.00   10.00    5.00    0.00    0.00   19.00
17:04:05       7   64.71    0.00    6.86    0.00    0.00    7.84    3.92    0.00    0.00   16.67
17:04:05       8   44.00    0.00   16.00    2.00    0.00    1.00    6.00    0.00    0.00   31.00
17:04:05       9   50.49    0.00   19.42    0.00    0.00    4.85    5.83    0.00    0.00   19.42
17:04:05      10   36.63    0.00   17.82    9.90    0.00    2.97    7.92    0.00    0.00   24.75
17:04:05      11   54.08    0.00   10.20    0.00    0.00    0.00    7.14    0.00    0.00   28.57
17:04:05      12   42.86    0.00   23.47    0.00    0.00    4.08    6.12    0.00    0.00   23.47
17:04:05      13   43.62    0.00   19.15    0.00    0.00    1.06    6.38    0.00    0.00   29.79
17:04:05      14   44.55    0.00    8.91    1.98    0.00    2.97    6.93    0.00    0.00   34.65
17:04:05      15   43.75    0.00   18.75    7.29    0.00    2.08    6.25    0.00    0.00   21.88

17:04:05     CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17:04:06     all   45.43    0.00   15.27    1.70    0.00    4.98    6.18    0.00    0.00   26.44
17:04:06       0   38.00    0.00   22.00    1.00    0.00   13.00    5.00    0.00    0.00   21.00
17:04:06       1   24.00    0.00   23.00    5.00    0.00    6.00    8.00    0.00    0.00   34.00
17:04:06       2   57.14    0.00   14.29    0.00    0.00    3.06    4.08    0.00    0.00   21.43
17:04:06       3   39.39    0.00   16.16    4.04    0.00    5.05    7.07    0.00    0.00   28.28
17:04:06       4   54.08    0.00    6.12    1.02    0.00   12.24    5.10    0.00    0.00   21.43
17:04:06       5   48.45    0.00   15.46    0.00    0.00    7.22    5.15    0.00    0.00   23.71
